subset,observation_index
1,69
1,70
1,72
1,74
1,139
1,140
1,186
1,189
1,194
1,204
1,224
1,243
1,261
1,262
1,272
1,284
1,304
1,311
1,322
1,323
1,347
1,357
1,387
1,388
1,390
1,391
1,392
1,393
1,394
1,395
1,396
1,397
1,398
1,402
1,407
1,411
1,412
1,413
1,414
1,415
1,416
1,424
1,441
1,450
1,456
1,457
1,458
1,459
1,460
1,461
1,462
1,464
1,468
1,469
1,470
1,472
1,475
1,478
1,479
1,481
1,482
1,490
1,515
1,516
1,517
1,518
1,519
1,520
1,531
1,544
1,545
1,546
1,547
1,548
1,549
1,550
1,551
1,552
1,553
1,554
1,555
1,556
1,560
1,565
1,573
1,582
1,583
1,585
1,588
1,589
1,590
1,591
1,593
1,601
1,603
1,604
1,605
1,606
1,607
1,608
1,609
1,610
1,611
1,614
1,633
1,637
1,638
1,639
1,640
1,641
1,642
1,644
1,647
1,648
1,650
1,651
1,652
1,653
1,654
1,656
1,657
1,658
1,659
1,661
1,664
1,665
1,666
1,667
1,668
1,669
1,670
1,671
1,672
1,673
1,674
1,675
1,676
1,677
1,678
1,679
1,680
1,681
1,682
1,683
1,684
1,685
1,686
1,687
1,688
1,689
1,690
1,691
1,692
1,694
1,695
1,696
1,697
1,698
1,699
1,700
1,701
1,702
1,703
1,704
1,705
1,706
1,707
1,709
1,710
1,711
1,712
1,713
1,715
1,716
1,717
1,718
1,720
1,721
1,722
1,723
1,724
1,725
1,726
1,727
1,728
1,729
1,730
1,731
1,732
1,734
1,735
1,738
1,744
1,746
1,756
1,757
1,758
1,759
1,761
1,762
1,764
1,773
1,774
1,775
1,777
1,778
1,779
1,785
1,791
1,798
1,814
1,817
1,818
1,835
1,838
1,840
1,851
1,857
1,890
1,903
1,905
1,910
1,913
1,914
1,916
1,917
1,936
1,949
1,950
1,955
1,963
1,968
1,971
1,973
1,974
1,975
1,976
1,977
1,978
1,979
1,980
1,981
1,982
1,983
1,985
1,988
1,990
1,991
1,992
1,993
1,994
1,995
1,996
1,1003
1,1004
1,1012
1,1013
1,1014
1,1015
1,1024
1,1028
1,1029
1,1030
1,1031
1,1032
1,1033
1,1035
1,1036
1,1037
1,1038
1,1039
1,1040
1,1041
1,1042
1,1043
1,1047
1,1048
1,1051
1,1052
1,1055
1,1060
1,1061
1,1062
1,1065
1,1066
1,1067
1,1068
1,1069
1,1070
1,1071
1,1072
1,1073
1,1074
1,1075
1,1076
1,1078
1,1079
1,1080
1,1081
1,1082
1,1083
1,1084
1,1085
1,1087
1,1088
1,1089
1,1090
1,1092
1,1098
1,1104
1,1112
1,1116
1,1119
1,1120
1,1122
1,1140
1,1144
1,1149
1,1155
1,1159
1,1171
1,1172
1,1174
1,1176
1,1177
1,1179
1,1180
1,1182
1,1187
1,1191
1,1225
1,1239
1,1256
1,1303
1,1316
1,1334
1,1355
1,1358
1,1362
1,1386
1,1408
1,1415
1,1416
1,1441
1,1467
1,1482
1,1510
1,1528
1,1529
1,1530
1,1531
1,1532
1,1533
1,1534
1,1547
1,1549
1,1567
1,1568
1,1583
1,1601
1,1602
1,1603
1,1604
1,1605
1,1606
1,1607
1,1608
1,1615
1,1618
1,1620
1,1622
1,1623
1,1624
1,1625
1,1626
1,1627
1,1628
1,1629
1,1631
1,1632
1,1634
1,1635
1,1636
1,1648
1,1649
1,1657
1,1666
1,1750
1,1754
1,1756
1,1762
1,1764
1,1770
1,1825
1,1853
1,1876
1,1891
1,1894
1,1902
1,1903
1,1906
1,1930
1,1931
1,1935
1,1937
1,1938
1,1940
1,1943
1,1945
1,1946
1,1948
1,1950
1,1952
1,1963
1,1965
1,1980
1,2023
1,2026
1,2034
1,2043
