subset,observation_index
2,28
2,93
2,119
2,128
2,133
2,157
2,158
2,190
2,343
2,375
2,457
2,476
2,485
2,501
2,504
2,510
2,523
2,551
2,561
2,569
2,588
2,648
2,674
2,732
2,743
2,848
2,870
2,875
2,887
2,891
2,904
2,907
2,931
2,962
3,12
3,32
3,37
3,56
3,61
3,63
3,69
3,72
3,73
3,76
3,83
3,105
3,106
3,130
3,144
3,151
3,163
3,168
3,172
3,181
3,197
3,216
3,217
3,229
3,241
3,244
3,258
3,263
3,280
3,283
3,294
3,301
3,307
3,328
3,340
3,344
3,352
3,354
3,383
3,386
3,388
3,394
3,396
3,402
3,405
3,408
3,410
3,416
3,449
3,451
3,468
3,481
3,499
3,506
3,533
3,546
3,578
3,583
3,585
3,586
3,611
3,614
3,633
3,641
3,642
3,644
3,661
3,664
3,670
3,673
3,682
3,686
3,723
3,738
3,745
3,755
3,756
3,760
3,800
3,810
3,816
3,819
3,837
3,838
3,839
3,851
3,863
3,868
3,895
3,912
3,914
3,919
3,923
3,924
3,963
3,964
3,965
3,969
4,2
4,5
4,18
4,24
4,26
4,29
4,39
4,48
4,57
4,62
4,66
4,77
4,89
4,90
4,97
4,100
4,108
4,114
4,118
4,121
4,148
4,154
4,156
4,165
4,171
4,174
4,176
4,178
4,183
4,184
4,185
4,193
4,195
4,199
4,200
4,206
4,211
4,227
4,235
4,247
4,249
4,253
4,255
4,264
4,271
4,273
4,277
4,285
4,289
4,306
4,311
4,329
4,353
4,364
4,371
4,377
4,389
4,393
4,397
4,398
4,399
4,406
4,409
4,411
4,412
4,431
4,440
4,447
4,467
4,470
4,477
4,479
4,488
4,489
4,497
4,498
4,502
4,505
4,508
4,511
4,516
4,522
4,528
4,539
4,541
4,542
4,549
4,555
4,559
4,562
4,567
4,570
4,572
4,574
4,581
4,589
4,591
4,595
4,596
4,597
4,598
4,605
4,613
4,618
4,623
4,625
4,639
4,640
4,643
4,647
4,652
4,656
4,660
4,667
4,671
4,678
4,690
4,691
4,698
4,699
4,706
4,708
4,709
4,712
4,716
4,717
4,718
4,727
4,742
4,744
4,747
4,772
4,773
4,792
4,793
4,794
4,803
4,805
4,811
4,813
4,817
4,820
4,824
4,828
4,830
4,836
4,855
4,876
4,882
4,929
4,936
4,941
4,947
4,956
4,960
4,961
4,970
5,7
5,8
5,10
5,14
5,17
5,20
5,33
5,34
5,36
5,38
5,40
5,41
5,51
5,55
5,64
5,70
5,75
5,81
5,84
5,94
5,109
5,112
5,113
5,115
5,120
5,126
5,135
5,155
5,160
5,161
5,162
5,166
5,187
5,194
5,218
5,223
5,230
5,233
5,234
5,242
5,250
5,256
5,262
5,266
5,274
5,275
5,291
5,303
5,314
5,315
5,321
5,347
5,348
5,356
5,361
5,366
5,368
5,372
5,376
5,378
5,381
5,384
5,385
5,390
5,400
5,401
5,403
5,414
5,417
5,419
5,420
5,428
5,433
5,435
5,441
5,446
5,461
5,469
5,487
5,490
5,494
5,495
5,517
5,525
5,529
5,540
5,548
5,554
5,560
5,573
5,582
5,602
5,604
5,608
5,609
5,610
5,612
5,620
5,631
5,635
5,645
5,662
5,666
