subset,observation_index
1,22
1,26
1,32
1,33
1,36
1,55
1,57
1,58
1,59
1,67
1,69
1,72
1,75
1,91
1,96
1,105
1,107
1,109
1,111
1,112
1,117
1,121
1,124
1,130
1,134
1,140
1,141
1,144
1,149
1,157
1,158
1,160
1,170
1,172
1,173
1,176
1,177
1,184
1,193
1,194
1,205
1,208
1,209
1,210
1,211
1,233
1,235
1,243
1,246
1,249
1,253
1,256
1,267
1,271
1,278
1,285
1,301
1,326
1,327
1,330
1,331
1,332
1,341
1,350
1,351
1,357
1,358
1,360
1,362
1,368
1,371
1,374
1,389
1,391
1,401
1,402
1,404
1,405
1,406
1,411
1,413
1,416
1,424
1,427
1,432
1,436
1,438
1,441
1,445
1,452
1,465
1,467
1,468
1,471
1,473
1,485
1,486
1,497
1,504
1,507
1,515
1,516
1,518
1,522
1,526
1,528
1,551
1,557
1,558
2,17
2,20
2,24
2,29
2,31
2,37
2,39
2,42
2,56
2,73
2,74
2,76
2,77
2,79
2,86
2,87
2,90
2,95
2,98
2,102
2,103
2,104
2,108
2,115
2,126
2,131
2,136
2,142
2,147
2,152
2,165
2,169
2,179
2,180
2,182
2,183
2,198
2,215
2,217
2,221
2,224
2,225
2,227
2,234
2,239
2,242
2,247
2,272
2,277
2,280
2,287
2,290
2,291
2,293
2,298
2,299
2,302
2,304
2,309
2,318
2,319
2,324
2,334
2,342
2,348
2,359
2,361
2,367
2,370
2,387
2,390
2,393
2,407
2,409
2,410
2,412
2,419
2,425
2,426
2,430
2,431
2,442
2,446
2,453
2,457
2,461
2,462
2,470
2,478
2,487
2,496
2,498
2,514
2,523
2,525
2,546
2,548
2,549
2,560
3,5
3,6
3,8
3,10
3,12
3,14
3,44
3,45
3,50
3,68
3,82
3,127
3,132
3,154
3,168
3,174
3,178
3,181
3,186
3,206
3,254
3,261
3,296
3,385
3,396
3,421
3,439
3,449
3,459
3,484
3,488
3,493
3,495
3,501
3,509
3,542
3,545
3,553
4,1
4,3
4,15
4,16
4,19
4,23
4,27
4,28
4,35
4,41
4,43
4,48
4,51
4,53
4,61
4,63
4,65
4,70
4,71
4,83
4,85
4,89
4,92
4,93
4,99
4,101
4,106
4,114
4,119
4,120
4,122
4,125
4,128
4,129
4,137
4,138
4,143
4,146
4,150
4,155
4,159
4,161
4,162
4,163
4,166
4,171
4,175
4,185
4,188
4,189
4,191
4,199
4,202
4,212
4,213
4,214
4,219
4,222
4,226
4,228
4,229
4,230
4,231
4,232
4,236
4,237
4,238
4,240
4,244
4,248
4,250
4,252
4,259
4,262
4,263
4,266
4,268
4,273
4,274
4,279
4,286
4,294
4,295
4,297
4,308
4,310
4,312
4,314
4,315
4,316
4,320
4,322
4,323
4,333
4,335
4,336
4,337
4,338
4,345
4,346
4,349
4,352
4,354
4,364
4,365
4,366
4,373
4,376
4,378
4,384
4,386
4,392
4,394
4,395
4,397
4,408
4,415
4,417
4,420
4,422
4,429
4,440
4,443
4,447
4,450
4,451
4,454
4,455
4,456
4,463
4,475
4,482
4,483
4,490
4,491
4,492
4,499
4,500
4,502
4,503
4,506
4,510
4,517
4,519
4,529
4,532
4,533
4,534
4,537
4,539
4,541
4,544
4,550
4,554
4,555
4,561
4,563
5,2
5,4
5,7
5,9
5,11
5,13
5,18
5,21
5,25
5,30
5,34
5,38
5,40
5,46
5,47
5,49
5,52
5,54
5,60
5,62
5,64
5,66
5,78
5,80
5,81
5,84
5,88
5,94
5,97
5,100
5,110
5,113
5,116
5,118
5,123
5,133
5,135
5,139
5,145
5,148
5,151
5,153
5,156
5,164
5,167
5,187
5,190
5,192
5,195
5,196
5,197
5,200
5,201
5,203
5,204
5,207
5,216
5,218
5,220
5,223
5,241
5,245
5,251
5,255
5,257
5,258
5,260
5,264
5,265
5,269
5,270
5,275
5,276
5,281
5,282
5,283
5,284
5,288
5,289
5,292
5,300
5,303
5,305
5,306
5,307
5,311
5,313
5,317
5,321
5,325
5,328
5,329
5,339
5,340
5,343
5,344
5,347
5,353
5,355
5,356
5,363
5,369
5,372
5,375
5,377
5,379
5,380
5,381
5,382
5,383
5,388
5,398
5,399
5,400
5,403
5,414
5,418
5,423
5,428
5,433
5,434
5,435
5,437
5,444
5,448
5,458
5,460
5,464
5,466
5,469
5,472
5,474
5,476
5,477
5,479
5,480
5,481
5,489
5,494
5,505
5,508
5,511
5,512
5,513
5,520
5,521
5,524
5,527
5,530
5,531
5,535
5,536
5,538
5,540
5,543
5,547
5,552
5,556
5,559
5,562
