subset,observation_index
1,10
1,16
1,19
1,35
1,45
1,47
1,48
1,49
1,52
1,56
1,58
1,61
1,79
1,90
1,92
1,96
1,100
1,101
1,111
1,115
1,116
1,123
1,130
1,131
1,138
1,139
1,142
1,155
1,167
1,169
1,179
1,180
1,196
1,224
1,241
1,242
1,244
1,245
1,246
1,248
1,254
1,255
1,259
1,262
1,270
1,281
1,283
1,291
1,305
1,307
1,308
1,311
1,312
1,318
1,320
1,324
1,326
1,327
1,334
1,344
1,349
1,372
1,374
2,12
2,15
2,18
2,22
2,24
2,29
2,30
2,31
2,34
2,46
2,62
2,63
2,64
2,65
2,66
2,67
2,72
2,74
2,78
2,83
2,84
2,85
2,89
2,94
2,103
2,108
2,112
2,117
2,121
2,125
2,140
2,147
2,148
2,156
2,159
2,162
2,172
2,174
2,177
2,183
2,186
2,189
2,190
2,208
2,212
2,214
2,217
2,218
2,219
2,222
2,223
2,225
2,226
2,228
2,234
2,235
2,239
2,249
2,252
2,258
2,261
2,263
2,264
2,273
2,285
2,287
2,288
2,290
2,300
2,303
2,313
2,314
2,319
2,331
2,335
2,338
2,343
2,356
2,358
2,359
2,367
2,368
2,373
3,4
3,5
3,6
3,7
3,9
3,36
3,37
3,41
3,57
3,69
3,104
3,109
3,127
3,137
3,141
3,144
3,146
3,151
3,164
3,166
3,182
3,194
3,201
3,213
3,221
3,271
3,277
3,295
3,298
3,309
3,316
3,321
3,336
3,340
3,342
3,346
3,350
3,360
3,366
3,369
3,370
4,1
4,20
4,21
4,25
4,26
4,28
4,42
4,44
4,59
4,71
4,76
4,86
4,87
4,88
4,98
4,99
4,106
4,107
4,119
4,128
4,133
4,134
4,135
4,143
4,145
4,149
4,153
4,160
4,163
4,168
4,171
4,178
4,181
4,184
4,185
4,187
4,192
4,199
4,204
4,207
4,210
4,216
4,220
4,232
4,233
4,236
4,238
4,247
4,251
4,256
4,260
4,266
4,272
4,275
4,276
4,282
4,284
4,289
4,293
4,296
4,299
4,302
4,304
4,317
4,322
4,329
4,330
4,333
4,339
4,347
4,352
4,355
4,371
5,2
5,3
5,8
5,11
5,13
5,14
5,17
5,23
5,27
5,32
5,33
5,38
5,39
5,40
5,43
5,50
5,51
5,53
5,54
5,55
5,60
5,68
5,70
5,73
5,75
5,77
5,80
5,81
5,82
5,91
5,93
5,95
5,97
5,102
5,105
5,110
5,113
5,114
5,118
5,120
5,122
5,124
5,126
5,129
5,132
5,136
5,150
5,152
5,154
5,157
5,158
5,161
5,165
5,170
5,173
5,175
5,176
5,188
5,191
5,193
5,195
5,197
5,198
5,200
5,202
5,203
5,205
5,206
5,209
5,211
5,215
5,227
5,229
5,230
5,231
5,237
5,240
5,243
5,250
5,253
5,257
5,265
5,267
5,268
5,269
5,274
5,278
5,279
5,280
5,286
5,292
5,294
5,297
5,301
5,306
5,310
5,315
5,323
5,325
5,328
5,332
5,337
5,341
5,345
5,348
5,351
5,353
5,354
5,357
5,361
5,362
5,363
5,364
5,365
