Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
69,4,11,8,1,3,2,,,
70,15,22,13,9,6,1028,,,
72,29,27,14,12,7,5,,,
139,31,54,21,16,10,2054,,,
186,32,57,39,24,17,2058,,,
189,33,102,43,28,18,1038,,,
194,34,104,45,30,19,1042,,,
204,38,105,47,40,20,2070,,,
224,41,138,49,62,23,2076,,,
261,42,143,52,64,25,2080,,,
311,44,144,56,76,26,1061,,,
322,55,145,58,84,35,1067,,,
323,60,155,61,87,36,2093,,,
357,63,172,65,88,37,1069,,,
387,71,174,66,90,46,1071,,,
390,77,184,67,94,48,1072,,,
391,83,233,79,103,50,1073,,,
392,89,236,82,106,53,51,,,
394,107,238,91,113,59,1075,,,
395,109,244,92,114,68,2101,,,
396,111,248,97,120,73,1076,,,
407,115,276,98,123,75,1077,,,
411,116,278,108,127,78,1078,,,
413,117,279,112,130,80,1079,,,
415,118,280,122,131,81,1080,,,
416,125,281,124,134,85,1081,,,
424,129,282,126,135,93,1082,,,
450,146,283,128,147,95,1083,,,
457,151,290,133,150,96,1085,,,
458,152,292,137,156,99,1086,,,
460,153,295,149,157,100,1087,,,
481,154,313,160,158,110,1089,,,
482,159,318,183,163,119,1092,,,
490,161,326,187,164,136,74,,,
516,162,327,190,165,142,1098,,,
517,167,329,191,166,148,1099,,,
518,177,331,193,168,169,1105,,,
519,182,332,195,170,171,2130,,,
520,196,334,197,175,178,86,,,
531,199,335,198,176,179,1112,,,
544,217,338,200,180,181,1115,,,
549,218,339,201,185,192,1116,,,
551,227,342,206,188,210,1119,,,
560,235,343,207,202,219,1120,,,
573,247,344,208,203,234,1122,,,
582,253,346,209,205,241,1124,,,
583,266,389,211,212,242,101,,,
585,270,399,214,213,245,1125,,,
590,302,400,221,216,250,1127,,,
593,314,401,223,222,254,1129,,,
601,353,403,225,228,255,1140,,,
603,354,404,229,231,256,121,,,
604,355,405,230,252,257,1149,,,
607,358,406,232,263,258,132,,,
610,359,409,237,264,259,1159,,,
611,362,410,240,268,260,140,,,
614,368,476,249,273,269,141,,,
641,370,477,251,277,285,1172,,,
