Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
69,4,2,8,1,3,,,,
70,15,5,13,9,6,,,,
72,29,11,14,12,7,,,,
74,31,22,21,16,10,,,,
139,32,27,39,24,17,,,,
140,33,51,43,28,18,,,,
186,34,54,45,30,19,,,,
189,38,57,47,40,20,,,,
194,41,86,49,62,23,,,,
204,42,102,52,64,25,,,,
224,44,104,56,76,26,,,,
243,55,105,58,84,35,,,,
261,60,121,61,87,36,,,,
262,63,132,65,88,37,,,,
272,71,138,66,90,46,,,,
284,77,143,67,94,48,,,,
304,83,144,79,103,50,,,,
311,89,145,82,106,53,,,,
322,107,155,91,113,59,,,,
323,109,172,92,114,68,,,,
347,111,173,97,120,73,,,,
357,115,174,98,123,75,,,,
387,116,184,108,127,78,,,,
388,117,226,112,130,80,,,,
390,118,233,122,131,81,,,,
391,125,236,124,134,85,,,,
392,129,238,126,135,93,,,,
393,146,239,128,147,95,,,,
394,151,244,133,150,96,,,,
395,152,246,137,156,99,,,,
396,153,248,149,157,100,,,,
397,154,276,160,158,101,,,,
398,159,278,183,163,110,,,,
402,161,279,187,164,119,,,,
407,162,280,190,165,136,,,,
411,167,281,191,166,141,,,,
412,177,282,193,168,142,,,,
413,182,283,195,170,148,,,,
414,196,290,197,175,169,,,,
415,199,292,198,176,171,,,,
416,217,293,200,180,178,,,,
424,218,295,201,185,179,,,,
441,227,313,206,188,181,,,,
450,235,318,207,202,192,,,,
456,247,319,208,203,210,,,,
457,253,320,209,205,219,,,,
458,266,324,211,212,234,,,,
459,270,326,214,213,241,,,,
460,274,327,215,216,242,,,,
461,302,329,220,222,245,,,,
462,314,330,221,228,250,,,,
464,317,331,223,231,254,,,,
468,353,332,225,252,255,,,,
469,354,333,229,263,256,,,,
470,355,334,230,264,257,,,,
472,358,335,232,268,258,,,,
475,359,337,237,273,259,,,,
478,362,338,240,277,260,,,,
479,368,339,249,289,269,,,,
481,370,340,251,294,271,,,,
482,373,341,265,305,285,,,,
490,375,342,267,308,286,,,,
515,377,343,275,310,287,,,,
516,381,344,306,312,288,,,,
517,419,345,307,349,291,,,,
518,421,346,309,350,296,,,,
519,422,348,360,361,297,,,,
520,425,351,364,363,298,,,,
531,426,389,365,378,299,,,,
544,427,399,366,384,300,,,,
545,429,400,372,386,301,,,,
546,433,401,374,420,303,,,,
547,434,403,376,428,315,,,,
548,437,404,379,430,316,,,,
549,440,405,380,432,321,,,,
550,451,406,382,435,325,,,,
551,452,408,383,443,328,,,,
552,483,409,385,448,336,,,,
553,486,410,423,453,352,,,,
554,487,463,436,455,356,,,,
555,493,465,438,497,367,,,,
556,499,466,439,525,369,,,,
